"year","sex","age","cnt","country"
2007,"F","5-9",164148,"DK"
2007,"F","10-14",171864,"DK"
2007,"F","15-19",157037,"DK"
2007,"M","5-9",172068,"DK"
2007,"M","10-14",181190,"DK"
2007,"M","15-19",165784,"DK"
2008,"F","5-9",162254,"DK"
2008,"F","10-14",171364,"DK"
2008,"F","15-19",162666,"DK"
2008,"M","5-9",170185,"DK"
2008,"M","10-14",180508,"DK"
2008,"M","15-19",171597,"DK"
2009,"F","5-9",161707,"DK"
2009,"F","10-14",170518,"DK"
2009,"F","15-19",167058,"DK"
2009,"M","5-9",169368,"DK"
2009,"M","10-14",179561,"DK"
2009,"M","15-19",175869,"DK"
2010,"F","5-9",161123,"DK"
2010,"F","10-14",168257,"DK"
2010,"F","15-19",170971,"DK"
2010,"M","5-9",168751,"DK"
2010,"M","10-14",177120,"DK"
2010,"M","15-19",179957,"DK"
2011,"F","5-9",160251,"DK"
2011,"F","10-14",166718,"DK"
2011,"F","15-19",173639,"DK"
2011,"M","5-9",167616,"DK"
2011,"M","10-14",175007,"DK"
2011,"M","15-19",182827,"DK"
2012,"F","5-9",160319,"DK"
2012,"F","10-14",165439,"DK"
2012,"F","15-19",174860,"DK"
2012,"M","5-9",168229,"DK"
2012,"M","10-14",173268,"DK"
2012,"M","15-19",184265,"DK"
2013,"F","5-9",160925,"DK"
2013,"F","10-14",163666,"DK"
2013,"F","15-19",174407,"DK"
2013,"M","5-9",168595,"DK"
2013,"M","10-14",171454,"DK"
2013,"M","15-19",183817,"DK"
2014,"F","5-9",161411,"DK"
2014,"F","10-14",163114,"DK"
2014,"F","15-19",173716,"DK"
2014,"M","5-9",169735,"DK"
2014,"M","10-14",170628,"DK"
2014,"M","15-19",183030,"DK"
2015,"F","5-9",161156,"DK"
2015,"F","10-14",162822,"DK"
2015,"F","15-19",171815,"DK"
2015,"M","5-9",169791,"DK"
2015,"M","10-14",170510,"DK"
2015,"M","15-19",181089,"DK"
2016,"F","5-9",161701,"DK"
2016,"F","10-14",162606,"DK"
2016,"F","15-19",170996,"DK"
2016,"M","5-9",170924,"DK"
2016,"M","10-14",170295,"DK"
2016,"M","15-19",179968,"DK"
2017,"F","5-9",159967,"DK"
2017,"F","10-14",163401,"DK"
2017,"F","15-19",170361,"DK"
2017,"M","5-9",168476,"DK"
2017,"M","10-14",171661,"DK"
2017,"M","15-19",178989,"DK"
2007,"F","10-14",152504,"NO"
2007,"F","15-19",150355,"NO"
2007,"F","5-9",147436,"NO"
2007,"M","10-14",161448,"NO"
2007,"M","15-19",157915,"NO"
2007,"M","5-9",154758,"NO"
2008,"F","10-14",153002,"NO"
2008,"F","15-19",153434,"NO"
2008,"F","5-9",146175,"NO"
2008,"M","10-14",161611,"NO"
2008,"M","15-19",162135,"NO"
2008,"M","5-9",152786,"NO"
2009,"F","10-14",153129,"NO"
2009,"F","15-19",155253,"NO"
2009,"F","5-9",146257,"NO"
2009,"M","10-14",161690,"NO"
2009,"M","15-19",163961,"NO"
2009,"M","5-9",152680,"NO"
2010,"F","10-14",153369,"NO"
2010,"F","15-19",156284,"NO"
2010,"F","5-9",146057,"NO"
2010,"M","10-14",161955,"NO"
2010,"M","15-19",165748,"NO"
2010,"M","5-9",152416,"NO"
2011,"F","10-14",153448,"NO"
2011,"F","15-19",156500,"NO"
2011,"F","5-9",145827,"NO"
2011,"M","10-14",161656,"NO"
2011,"M","15-19",167124,"NO"
2011,"M","5-9",151952,"NO"
2012,"F","10-14",152033,"NO"
2012,"F","15-19",157162,"NO"
2012,"F","5-9",147344,"NO"
2012,"M","10-14",159706,"NO"
2012,"M","15-19",167828,"NO"
2012,"M","5-9",153725,"NO"
2013,"F","10-14",150723,"NO"
2013,"F","15-19",158031,"NO"
2013,"F","5-9",149401,"NO"
2013,"M","10-14",157744,"NO"
2013,"M","15-19",168038,"NO"
2013,"M","5-9",156301,"NO"
2014,"F","10-14",150712,"NO"
2014,"F","15-19",157977,"NO"
2014,"F","5-9",151585,"NO"
2014,"M","10-14",157471,"NO"
2014,"M","15-19",167828,"NO"
2014,"M","5-9",159165,"NO"
2015,"F","10-14",150549,"NO"
2015,"F","15-19",158278,"NO"
2015,"F","5-9",154127,"NO"
2015,"M","10-14",157011,"NO"
2015,"M","15-19",168228,"NO"
2015,"M","5-9",162108,"NO"
2016,"F","10-14",150491,"NO"
2016,"F","15-19",158463,"NO"
2016,"F","5-9",156440,"NO"
2016,"M","10-14",156888,"NO"
2016,"M","15-19",168361,"NO"
2016,"M","5-9",164741,"NO"
2017,"F","10-14",152249,"NO"
2017,"F","15-19",157060,"NO"
2017,"F","5-9",157062,"NO"
2017,"M","10-14",159157,"NO"
2017,"M","15-19",167960,"NO"
2017,"M","5-9",165749,"NO"
2007,"F","10-14",263740,"SE"
2007,"F","15-19",309280,"SE"
2007,"F","5-9",231707,"SE"
2007,"M","10-14",276450,"SE"
2007,"M","15-19",327748,"SE"
2007,"M","5-9",244531,"SE"
2008,"F","10-14",251681,"SE"
2008,"F","15-19",311677,"SE"
2008,"F","5-9",238058,"SE"
2008,"M","10-14",265004,"SE"
2008,"M","15-19",329731,"SE"
2008,"M","5-9",250677,"SE"
2009,"F","10-14",242048,"SE"
2009,"F","15-19",310522,"SE"
2009,"F","5-9",245360,"SE"
2009,"M","10-14",255238,"SE"
2009,"M","15-19",328011,"SE"
2009,"M","5-9",258574,"SE"
2010,"F","10-14",237181,"SE"
2010,"F","15-19",300431,"SE"
2010,"F","5-9",251209,"SE"
2010,"M","10-14",250333,"SE"
2010,"M","15-19",318174,"SE"
2010,"M","5-9",264448,"SE"
2011,"F","10-14",236059,"SE"
2011,"F","15-19",287608,"SE"
2011,"F","5-9",258689,"SE"
2011,"M","10-14",249905,"SE"
2011,"M","15-19",304768,"SE"
2011,"M","5-9",272248,"SE"
2012,"F","10-14",240317,"SE"
2012,"F","15-19",273837,"SE"
2012,"F","5-9",264686,"SE"
2012,"M","10-14",253966,"SE"
2012,"M","15-19",290790,"SE"
2012,"M","5-9",279307,"SE"
2013,"F","10-14",247801,"SE"
2013,"F","15-19",262834,"SE"
2013,"F","5-9",271218,"SE"
2013,"M","10-14",261331,"SE"
2013,"M","15-19",280793,"SE"
2013,"M","5-9",286732,"SE"
2014,"F","10-14",255844,"SE"
2014,"F","15-19",254181,"SE"
2014,"F","5-9",277859,"SE"
2014,"M","10-14",270418,"SE"
2014,"M","15-19",273055,"SE"
2014,"M","5-9",293755,"SE"
2015,"F","10-14",263672,"SE"
2015,"F","15-19",251450,"SE"
2015,"F","5-9",286162,"SE"
2015,"M","10-14",278135,"SE"
2015,"M","15-19",271022,"SE"
2015,"M","5-9",302956,"SE"
2016,"F","10-14",273831,"SE"
2016,"F","15-19",253037,"SE"
2016,"F","5-9",291852,"SE"
2016,"M","10-14",289269,"SE"
2016,"M","15-19",276575,"SE"
2016,"M","5-9",309001,"SE"
2017,"F","10-14",281896,"SE"
2017,"F","15-19",258776,"SE"
2017,"F","5-9",297294,"SE"
2017,"M","10-14",298557,"SE"
2017,"M","15-19",286062,"SE"
2017,"M","5-9",314886,"SE"
