"atc","year","sex","age","nusers","ddd","users_pr_1000","ddd_pr_1000","country","drug_group"
"N06A",2007,"F","5-9",43,7000,0.261958718299866,42.6444435119629,"DK","AD"
"N06A",2007,"M","5-9",98,17000,0.569542288780212,98.7981491088867,"DK","AD"
"N06A",2007,"F","10-14",653,191000,3.79951596260071,1111.34387207031,"DK","AD"
"N06A",2007,"M","10-14",581,175000,3.20657873153687,965.836975097656,"DK","AD"
"N06A",2007,"F","15-19",5578,1499000,35.5202903747559,9545.521484375,"DK","AD"
"N06A",2007,"M","15-19",2429,645000,14.6515951156616,3890.60473632812,"DK","AD"
"N06AA",2007,"F","5-9",9,0,0.0548285692930222,0,"DK","TCA"
"N06AA",2007,"M","5-9",27,0,0.156914710998535,0,"DK","TCA"
"N06AA",2007,"F","10-14",43,1000,0.25019782781601,5.81855440139771,"DK","TCA"
"N06AA",2007,"M","10-14",50,3000,0.275953412055969,16.5572052001953,"DK","TCA"
"N06AA",2007,"F","15-19",176,15000,1.1207549571991,95.5188903808594,"DK","TCA"
"N06AA",2007,"M","15-19",78,5000,0.470491737127304,30.159725189209,"DK","TCA"
"N06AA01",2007,"F","5-9",0,0,0,0,"DK","TCA"
"N06AA01",2007,"M","5-9",0,0,0,0,"DK","TCA"
"N06AA01",2007,"F","10-14",0,0,0,0,"DK","TCA"
"N06AA01",2007,"M","10-14",0,0,0,0,"DK","TCA"
"N06AA01",2007,"F","15-19",0,0,0,0,"DK","TCA"
"N06AA01",2007,"M","15-19",0,0,0,0,"DK","TCA"
"N06AA02",2007,"F","5-9",3,0,0.0182761903852224,0,"DK","TCA"
"N06AA02",2007,"M","5-9",17,0,0.0987981483340263,0,"DK","TCA"
"N06AA02",2007,"F","10-14",19,0,0.110552527010441,0,"DK","TCA"
"N06AA02",2007,"M","10-14",28,1000,0.154533907771111,5.51906824111938,"DK","TCA"
"N06AA02",2007,"F","15-19",32,1000,0.203773632645607,6.36792612075806,"DK","TCA"
"N06AA02",2007,"M","15-19",12,0,0.0723833441734314,0,"DK","TCA"
"N06AA04",2007,"F","5-9",0,0,0,0,"DK","TCA"
"N06AA04",2007,"M","5-9",0,0,0,0,"DK","TCA"
"N06AA04",2007,"F","10-14",1,0,0.00581855420023203,0,"DK","TCA"
"N06AA04",2007,"M","10-14",1,0,0.00551906833425164,0,"DK","TCA"
"N06AA04",2007,"F","15-19",8,1000,0.0509434081614017,6.36792612075806,"DK","TCA"
"N06AA04",2007,"M","15-19",4,0,0.0241277813911438,0,"DK","TCA"
"N06AA05",2007,"F","5-9",0,0,0,0,"DK","TCA"
"N06AA05",2007,"M","5-9",0,0,0,0,"DK","TCA"
"N06AA05",2007,"F","10-14",0,0,0,0,"DK","TCA"
"N06AA05",2007,"M","10-14",0,0,0,0,"DK","TCA"
"N06AA05",2007,"F","15-19",0,0,0,0,"DK","TCA"
"N06AA05",2007,"M","15-19",0,0,0,0,"DK","TCA"
"N06AA06",2007,"F","5-9",0,0,0,0,"DK","TCA"
"N06AA06",2007,"M","5-9",0,0,0,0,"DK","TCA"
"N06AA06",2007,"F","10-14",0,0,0,0,"DK","TCA"
"N06AA06",2007,"M","10-14",0,0,0,0,"DK","TCA"
"N06AA06",2007,"F","15-19",1,0,0.00636792602017522,0,"DK","TCA"
"N06AA06",2007,"M","15-19",0,0,0,0,"DK","TCA"
"N06AA07",2007,"F","5-9",0,0,0,0,"DK","TCA"
"N06AA07",2007,"M","5-9",0,0,0,0,"DK","TCA"
"N06AA07",2007,"F","10-14",0,0,0,0,"DK","TCA"
"N06AA07",2007,"M","10-14",0,0,0,0,"DK","TCA"
"N06AA07",2007,"F","15-19",0,0,0,0,"DK","TCA"
"N06AA07",2007,"M","15-19",0,0,0,0,"DK","TCA"
"N06AA08",2007,"F","5-9",0,0,0,0,"DK","TCA"
"N06AA08",2007,"M","5-9",0,0,0,0,"DK","TCA"
"N06AA08",2007,"F","10-14",0,0,0,0,"DK","TCA"
"N06AA08",2007,"M","10-14",0,0,0,0,"DK","TCA"
"N06AA08",2007,"F","15-19",0,0,0,0,"DK","TCA"
"N06AA08",2007,"M","15-19",0,0,0,0,"DK","TCA"
"N06AA09",2007,"F","5-9",6,0,0.0365523807704449,0,"DK","TCA"
"N06AA09",2007,"M","5-9",9,0,0.0523049011826515,0,"DK","TCA"
"N06AA09",2007,"F","10-14",20,0,0.116371087729931,0,"DK","TCA"
"N06AA09",2007,"M","10-14",20,1000,0.110381364822388,5.51906824111938,"DK","TCA"
"N06AA09",2007,"F","15-19",111,7000,0.706839799880981,44.5754814147949,"DK","TCA"
"N06AA09",2007,"M","15-19",51,3000,0.307629197835922,18.0958347320557,"DK","TCA"
"N06AA10",2007,"F","5-9",4,0,0.0243682526051998,0,"DK","TCA"
"N06AA10",2007,"M","5-9",8,0,0.0464932471513748,0,"DK","TCA"
"N06AA10",2007,"F","10-14",10,0,0.0581855438649654,0,"DK","TCA"
"N06AA10",2007,"M","10-14",9,0,0.0496716164052486,0,"DK","TCA"
"N06AA10",2007,"F","15-19",36,6000,0.229245334863663,38.2075576782227,"DK","TCA"
"N06AA10",2007,"M","15-19",12,1000,0.0723833441734314,6.03194522857666,"DK","TCA"
"N06AA11",2007,"F","5-9",0,0,0,0,"DK","TCA"
"N06AA11",2007,"M","5-9",0,0,0,0,"DK","TCA"
"N06AA11",2007,"F","10-14",0,0,0,0,"DK","TCA"
"N06AA11",2007,"M","10-14",0,0,0,0,"DK","TCA"
"N06AA11",2007,"F","15-19",0,0,0,0,"DK","TCA"
"N06AA11",2007,"M","15-19",0,0,0,0,"DK","TCA"
"N06AA12",2007,"F","5-9",0,0,0,0,"DK","TCA"
"N06AA12",2007,"M","5-9",0,0,0,0,"DK","TCA"
"N06AA12",2007,"F","10-14",0,0,0,0,"DK","TCA"
"N06AA12",2007,"M","10-14",0,0,0,0,"DK","TCA"
"N06AA12",2007,"F","15-19",0,0,0,0,"DK","TCA"
"N06AA12",2007,"M","15-19",0,0,0,0,"DK","TCA"
"N06AA16",2007,"F","5-9",0,0,0,0,"DK","TCA"
